Training_1	Training_2	Training_3	Training_4	Training_5	Training_6	Training_7	Training_8	Training_9	Training_10	Training_11	Training_12	Training_13	Training_14	Training_15	Training_16	Training_17	Training_18	Training_19	Training_20	Training_21	Training_22	Training_23	Training_24	Training_25	Training_26	Training_27	Training_28	Training_29	Training_30	Training_31	Training_32	Training_33	Training_34	Training_35	Training_36	Training_37	Training_38	Training_39	Training_40	Training_41	Training_42	Training_43	Training_44	Training_45	Training_46	Training_47	Training_48	Training_49	Training_50	Training_51	Training_52	Training_53	Training_54	Training_55	Training_56	Training_57	Training_58	Training_59	Training_60	Training_61	Training_62	Training_63	Training_64	Training_65	Training_66	Training_67	Training_68	Training_69	Training_70	Training_71	Training_72	Training_73	Training_74	Training_75	Training_76	Training_77	Training_78	Training_79	Training_80
"A1BG"	2.919687734	3.5553235973	3.5133019261	3.5880872926	3.4051760582	3.5757586858	4.1413042154	4.5612993064	3.2532643133	2.1013350384	3.5576372854	2.7922265514	4.3170641512	3.6513105469	3.8582617611	3.7372263523	3.4197383626	3.6127815905	3.9865912564	3.0474707384	4.291082498	3.7533193447	3.4440891985	3.6123484407	4.094970888	3.6306035017	3.0358085666	5.1848372703	1.2936653711	3.2257462324	1.957586099	1.5381656727	3.7052267611	2.4446976206	4.1514108318	3.32751866	3.8265325168	4.6639580713	2.7362634196	3.2892190308	3.4437567142	3.3947707584	2.57393577	3.6676916958	3.7320894174	3.587566414	3.6448889171	2.8483962275	3.2348562328	4.1433985089	2.1083836394	4.1269815884	3.6472673269	3.4063076335	4.5710202081	3.2209251761	3.8558175484	3.3863810212	4.1958098101	3.0882365984	3.2165078273	4.1292208237	3.5482553244	3.1332382309	2.5962429892	3.9404001169	1.4313501329	2.6382463185	3.3172230979	2.9131550682	2.2638242717	5.0437811651	3.7520048098	3.9906685399	1.6204780701	1.8247693754	2.7854465186	3.0474707384	4.3540923615	3.7878868339
"A2M"	5.737663389	5.4196872079	5.601926819	6.092091231	5.6642369161	6.481124879	6.3085048636	6.9647736678	6.7973342248	5.8424509495	6.3014483755	6.0093203866	6.382359865	6.3004889246	6.2721610149	5.4592192784	6.7725975201	5.8331537819	7.0270017797	5.9712613429	6.7093886159	4.0278083034	6.4528561073	4.4765688365	6.6247879984	5.689964184	5.3985799778	7.0857728926	5.219068698	6.103209682	5.4768159646	6.0504761151	6.347487864	5.5657946166	6.2699002981	5.9864941092	6.1090678739	7.3830150022	5.4822916728	6.1777329339	6.3933208758	5.7943753483	5.8613155051	5.5296378227	6.9721079621	5.8447169713	6.5290280793	5.0089430342	7.121271459	6.2406262627	5.9764088891	6.5652871432	6.1385556836	5.5251873968	6.3722435023	5.8575347094	6.0336846986	6.7770411781	5.9630849939	6.5537743763	5.8737514911	7.0439298868	5.7902335886	6.1607865905	6.4639619653	5.9445037432	5.7328699998	6.3765420483	5.7978902657	5.2943440209	6.2111714288	6.4746685979	4.9299363891	6.0096918135	6.1533409943	6.2924635319	5.8355597061	5.9712613429	6.4397949886	6.2873068302
"AAAS"	2.0024005932	3.0098757765	2.7893586799	2.0856482371	1.8258881386	1.0739093489	1.0888229535	0	2.440911331	1.8338815211	3.0135195115	2.0418662104	1.7825446672	2.1289890875	2.3485586637	1.9099236	2.6320542165	1.8409432064	1.9949243391	2.9981289279	1.1962375995	1.0739093489	2.1325378695	2.4935892464	1.7012268595	0.9625563478	2.1504934023	1.8822809448	1.7919045242	2.2162167667	2.5461180501	2.7559043449	2.7458506205	2.5073397444	2.153559396	1.0739093489	3.6264305098	1.5892053074	2.2477688263	2.9096224601	2.463620772	1.6094410452	1.8655856254	2.4472691872	0	2.5974804833	2.1512332247	2.9509561012	1.5597115316	1.0120815332	2.8921179974	1.7033537933	1.8428697531	2.4081590302	1.0524248429	1.7452324836	1.8772741791	1.7919045242	1.0497999315	1.0739093489	1.0739093489	2.8137892166	2.8998573116	1.7246909351	3.0574434069	1.8818722817	1.1792321305	1.8698473189	1.7737118104	2.3767681214	1.1540800756	1.0051130202	2.7739946962	0.9661526546	2.6447390428	1.7684067391	1.1539896456	2.9981289279	2.9120145966	3.2829713048
"AACS"	1.4611132698	0.9945943349	1.5043142903	1.0072327247	0	1.9873338223	0	0	1.0248384623	1.1566287913	2.6204402434	0	0	0.9799423423	1.5030979444	1.3519577726	2.0493795449	1.1556907254	1.6994399416	0.9836203955	0	0.9799423423	0	1.6487970702	1.0998923824	0	0	2.3580367148	0	0	1.8495615333	1.4005651021	1.4245084896	2.820085696	0	0	1.0724383496	0.9909463351	1.412919773	2.2856151774	0.9799423423	1.0529233593	1.0340805382	1.5632022205	0	1.0409504833	1.2706179433	0	0	0	2.831208761	0	0	1.0248384623	0	1.9092382623	0	2.4888918653	0	2.1866893969	1.8338344579	1.8495615333	2.4262012679	0.9953956659	1.0489428771	1.0369384641	0	1.3369427444	0	0	1.2606311547	1.0960333576	1.2606082631	2.596945543	1.7767890481	0	0	0.9836203955	1.0018606738	1.517540425
"AAGAB"	0	0	0	0	0	1.8957726672	0	0	0.9911144879	0	0.9911144879	0	0	1.3781742054	1.407357781	0	1.2364915873	1.1056652361	1.0052580464	1.0152336999	0	0	1.0398848452	1.8141356095	1.0569019428	0	1.0433392169	1.0915588785	1.0967243065	0.9911144879	0	0.9911144879	1.0108965948	0	0.9911144879	0	0	0	0	1.0152336999	0	0	0	0	0	1.0052580464	1.2057812903	0	1.0170251793	0	0.9911144879	0	0	0	1.0992581473	0.9911144879	1.0017373068	1.5223993029	1.0967243065	1.0108965948	1.0108965948	0.9911144879	0	1.0291286592	0	1.0017373068	1.2212227484	0	1.0802862301	0	0	0	1.0108965948	1.6295629093	1.5585944386	0	1.197009703	1.0152336999	0	0.9925092524
"AAK1"	1.7310092447	1.8377627055	0	0	1.066124208	1.5786391999	1.0635332673	0	2.2553415854	0	2.5735172667	0	1.0384340674	2.0553106903	2.1767666986	1.2238635069	2.0362703356	0	1.4976629	0	0	2.1526952923	1.0076222925	0	0	1.8882602346	1.0107884589	0	0	1.5857517661	0	1.2623034308	1.0450452733	2.9211679674	2.0107971726	1.0450452733	0	0	1.0486366019	0	0	0	0	0	1.158809746	1.8376095345	1.5086144418	2.5435232328	1.6660402881	1.6535123489	1.5377693966	2.3114652712	2.1585550739	0.9628873049	0	1.950809632	1.7752508709	1.7023012481	0	2.068753412	1.3886305848	1.9151443627	0	1.8826319068	1.496935156	0	0	1.0450452733	1.6867411787	0	0	0	0	0.9855021104	1.0552127667	0	1.1513723083	0	1.0754226709	0.9641675764
"AAMDC"	1.0039908316	0	0	1.5518759656	0	0	1.0061910313	1.8138113035	1.011458063	0	1.7672929572	0	1.1128831559	1.8735170941	0	0	2.7878835321	1.152716564	0	0.9971188856	1.0961981456	0.9936676989	0	2.3705517843	1.0923545105	1.0373992792	1.0756238296	1.0575620759	0	1.8710614738	0	1.011458063	1.4068349478	1.9619541024	2.0634848716	0.9936676989	1.0802532276	1.0039908316	0	1.9987563686	0.9936676989	0	0	0	1.7165323899	0	2.1123317169	2.1864860189	1.3992825045	2.9243643368	1.0965128385	2.4870061585	0	1.011458063	0	1.4993254838	0	1.6778579901	1.1416254979	0.9936676989	1.5605286104	2.3343813031	1.4310413407	1.0081630693	2.2531946828	1.0244752359	0	1.3259585089	0	0	0	0	0.9936676989	1.0416867932	1.4189984116	2.389268904	0	0.9971188856	1.5426318064	1.0131661593
"AARS"	4.7919639687	4.6976936254	4.4608747516	4.2935101128	3.681593675	5.1069365475	4.9093696665	4.1926319298	4.6762340353	4.8018082087	4.6783670679	4.8800601742	4.0379790389	4.917068447	4.523085123	5.0915912642	5.0939739387	4.2683538392	4.2007656189	4.2539812413	4.0742370639	4.9676007158	4.2853885634	2.8712863189	4.387210242	4.5642630852	4.5686258396	4.1333333575	3.1858428475	4.1271910306	4.2198083215	4.4950582151	4.8503003151	4.424306269	4.2410911529	4.6314124651	3.8347806746	4.5711852863	4.5929287339	4.4071924707	4.6994457706	4.42428582	4.4171231086	4.2597333726	4.2841355428	4.9582454285	4.2315873938	4.7478544327	5.0553451414	3.8324195936	4.0884436823	4.4492003972	4.4758888116	4.6613518316	4.4349948303	4.3869976758	4.4653203418	4.9849660887	4.642430397	4.9598748905	4.4095226325	4.6217010597	5.2240068216	4.6253894587	4.7746727138	4.4145811699	3.6608977597	5.1405911307	4.3394158465	3.7937585236	3.9282143854	5.2193618372	4.635080107	4.7679543285	5.1028372878	3.5852984711	4.6262696627	4.2539812413	3.99509071	4.3165282025
"AARS2"	1.7295547415	1.156009606	1.7823424082	1.1716004118	2.4952961937	1.600736849	2.7097606287	2.2231900225	2.483154798	1.7238261211	1.0917126637	1.1102496736	1.6762343918	1.5174030331	1.9626938721	2.809091333	1.7609392501	2.4525041202	1.8732633952	1.6885840119	0	2.7080621208	0	3.1564287889	0	0.91783933	1.5729975918	1.2220772823	2.4386904272	2.4622524554	1.5909966336	2.3962947255	3.4838157456	2.0768124141	1.706927596	1.5913372214	1.2520216469	1.1515093128	0	2.7242919869	2.3678739703	1.9369095583	2.0121070009	1.1649734845	0	1.8318672015	2.2261501762	3.4019442323	0	0	3.1238012285	1.602861131	1.0090315083	2.4588790729	0	1.2735585523	2.1008172869	3.0878706013	1.7193300075	2.3254061839	1.88854861	2.9971742274	0	1.8568277252	1.8534377693	1.380456045	1.1181445841	2.622501149	0.982783613	2.2285189942	3.4110971232	1.6010706296	2.2766827691	0.9211661376	1.1469967003	0	1.0948176372	1.6885840119	1.1649734845	2.284094574
"AASDHPPT"	1.5904308884	1.0042502399	1.6456707809	1.7452286213	0	0.9863047731	1.0026542262	1.6881572283	1.6106777657	1.1179177783	1.5914620583	1.2220277122	1.0856558545	1.3703215574	1.4114136901	1.0049130493	1.6185763857	0	1.5763604296	0.9908058863	1.1213941104	1.4888348597	1.0527220516	0	0	0	1.0561061235	0	1.7946306784	1.938752734	1.7021263818	0	1.5437086714	1.5061568408	1.8162704991	0.9863047731	0	0.9997785896	1.5289342466	0.9908058863	1.4322774182	1.627908579	1.0528008249	1.0131642885	0	1.5530415068	1.2149503828	0.9863047731	0.9926653958	1.0726879056	1.0726879056	0	1.1191069661	1.0049130493	0	0	2.2008601397	1.7946306784	0	1.4398934081	1.2892513563	1.7021263818	0	1.0052328176	0	1.4933869603	1.2300230058	1.43230372	1.7780464064	1.9958924484	1.2064711667	0	1.3356889104	1.0290806498	2.3168220908	1.0131642885	0	0.9908058863	0	1.0062811532
"AATF"	2.1276852015	1.7655256709	2.2028438119	0	2.1762558819	1.5368959499	0	1.0873959061	1.5496694865	1.0640221963	1.8060095802	0	1.7237761084	1.0598803631	1.7103662831	1.5867258536	1.8065137215	1.7766750009	1.5156740219	1.0644940337	1.197907773	1.0598803631	1.0002392478	0	1.6500568354	1.5493338028	0	0	2.1400501798	1.2478636943	1.6403662057	1.6403662057	1.6246238553	1.5869218822	1.753773015	1.5271008243	0	1.6482056607	1.0631364418	1.0644940337	1.9749821849	1.9779799838	3.4061905617	1.0873959061	0	1.8756897161	2.0573417225	1.5550510059	1.6141495632	0	1.5580805144	1.6519860114	1.7784195783	2.048552949	1.0571002917	1.9957801281	1.4288833642	1.4631484113	1.0546731504	1.5202916813	1.838364466	1.9579365861	0	1.0792745999	1.5149047578	0.9637186085	2.8573580043	2.616081545	1.0389284106	1.9326388863	1.1508557039	1.6502326451	1.415227057	0	1.0690965477	1.8557067883	1.1507724962	1.0644940337	1.0873959061	3.0806740211
"ABAT"	1.1233372309	1.7466243674	2.1330748961	1.1421458953	1.025448319	0	0	1.7499691893	3.0984780981	0	2.7436293151	0	0	1.4651746117	1.333793874	3.4430952928	0.9125777842	2.2267477886	0.9266954095	1.1148744567	0	1.9914959492	0	0	0	3.4841304156	2.0918235488	0	0	3.0684563544	2.4797234128	2.2350751494	2.3654900366	4.3191349653	2.0948260494	2.2366027677	0	0	1.1136242517	0	0	2.639921687	0	1.1359426505	0	0.9266954095	0.9125777842	2.5793955121	0	0	0.9125777842	2.1097071653	0	2.0830257551	3.6925420302	2.0258685126	0.9231796145	2.933996617	2.8745179795	0	1.3914729756	1.9849035429	0	0	1.5073566055	0	0	0	1.7233263802	1.5515519099	3.3190721293	0	0	0	1.1191118035	2.555290881	0	1.1148744567	0	1.3465909338
"ABCB7"	0	0	1.9370063735	0	1.1553731097	1.367807256	0.9763856845	0	2.0055072049	0	1.0343858969	0	1.1228793259	1.7259826629	1.4815588868	2.3107832363	1.2979876968	0	1.6637120706	2.1814354498	0	1.79917322	1.0867570578	2.7895280883	1.8134651864	2.1236497845	1.090467116	1.0351414114	0	1.7675736532	1.8026775978	1.8026775978	1.4424909332	3.6288768132	1.9288072239	2.0382261386	0	0.9738776447	1.8241583061	2.387527554	2.0595549594	1.7206664334	1.020048324	1.5939223844	0	0	1.0343858969	2.3756239495	1.8354795016	1.1086517108	1.1086517108	1.1050344377	0	2.255459755	1.1505342337	1.8578658915	1.5668201328	3.6362494544	1.1478121071	0	2.5770416988	1.3839094714	1.897013286	1.5962926958	1.0571006908	1.5720601021	0	3.0957009308	1.1301532025	2.1272205931	0	0	1.6941173407	1.7200865584	0.9699681186	0	2.1116025072	2.1814354498	1.6034830546	1.4949772794
"ABCC1"	1.1228198955	2.5712348288	0	1.1481900936	1.0280572637	1.1057279413	0	0	2.3293039195	0	2.4638784402	0	0	3.0624088397	0	0.9300657673	2.3150451224	0	2.3114474088	1.8228327222	0	1.1057279413	1.5233272988	0	1.9346293401	1.4680611569	0.9755356372	0	1.0219438655	1.7611875902	0	1.8235531002	0	1.7697167961	1.3109832657	1.1057279413	0	1.1228198955	0	0	1.1057279413	1.8530479653	0	0	1.233476754	2.4711452303	1.4482124355	3.2009530357	1.1137950105	0.9902606859	0.9902606859	1.938558645	0	2.1329903725	1.0241449609	1.2689944157	1.3597486016	1.3905732929	2.3310993351	1.1057279413	1.1057279413	1.2124311559	1.1204679583	0	1.7800633147	2.2352880782	1.8662126465	1.6751982343	1.0076610748	1.4741386786	0	1.5587186191	0	0.9515334769	0	1.1398122789	0	1.8228327222	0	1.6372321155
"ABCC3"	0	2.5944964178	2.7894097361	0	0	2.6090612657	0	1.6004314415	0	2.3366647249	1.9366653036	2.0970115501	2.6791217497	2.372921597	2.805820189	1.0303351889	2.8400219218	2.3303858301	2.3946934826	2.2654671597	0	0	2.1830344365	3.5696840353	1.0979401156	0	1.0840091206	0	0	1.3453165759	3.6500473569	4.1497959502	0	1.4331703133	2.4673406273	2.5862148727	1.8889024333	0	0.9574193663	1.4737039644	2.6937536718	2.7272750083	2.2504937395	2.0485954256	0	2.3301700455	1.9203957791	0	3.2146009032	0	2.7733118392	3.370576627	0	2.4436692004	0	1.8142982706	1.5379152482	2.1078247104	1.1388249609	1.3722644808	2.6933287264	1.7619167262	0.9652221147	2.0698063929	1.0520833499	0	0	1.3652876455	1.1219516819	2.0698728045	2.5434425014	1.7723421431	0	2.9088281869	2.8158112785	0.9793005707	0	2.2654671597	1.641031195	1.4696184811
